reaction,acyl_chlorides,amines,Controls,HTE_rate,Fast_unmeasurable,Slow_unreliable,HTE_lnk,amine_smiles,acid_smiles,test splits
rxn_04_16,4,16,40.34542314,0.0,True,False,-inf,CC1CCCCN1,Fc1ccc(c(F)c1)C(Cl)=O,TRAIN
rxn_04_17,4,17,40.34542314,144.7573865,False,False,2.1606407336039255,Nc1cccc2cccnc12,Fc1ccc(c(F)c1)C(Cl)=O,TRAIN
rxn_04_18,4,18,40.34542314,87.79057592,False,False,1.9434478980745533,CC(=O)c1cccc(N)c1,Fc1ccc(c(F)c1)C(Cl)=O,TRAIN
rxn_04_19,4,19,40.34542314,0.0,True,False,-inf,C1COCCN1,Fc1ccc(c(F)c1)C(Cl)=O,TRAIN
rxn_04_20,4,20,40.34542314,65.26195401,False,False,1.8146600728698188,COc1ccc(cc1N)C(F)(F)F,Fc1ccc(c(F)c1)C(Cl)=O,TRAIN
rxn_04_21,4,21,40.34542314,375.8227251,False,False,2.574983037305581,COCCOc1ccccc1N,Fc1ccc(c(F)c1)C(Cl)=O,TRAIN
rxn_04_22,4,22,40.34542314,1024.0,False,False,3.010299956639812,CCC(N)CC,Fc1ccc(c(F)c1)C(Cl)=O,TRAIN
rxn_04_23,4,23,40.34542314,89.28788278,False,False,1.950792524970879,CC1CCCC(C)N1,Fc1ccc(c(F)c1)C(Cl)=O,TRAIN
rxn_04_24,4,24,40.34542314,148.3011137,False,False,2.1711444124710546,Nc1ccc(C=C)cc1,Fc1ccc(c(F)c1)C(Cl)=O,TRAIN
rxn_04_25,4,25,40.34542314,1024.0,False,False,3.010299956639812,Cc1ccc(N)cc1,Fc1ccc(c(F)c1)C(Cl)=O,TRAIN
rxn_04_26,4,26,40.34542314,494.1772152,False,False,2.6938827177131124,Cc1cccc(N)c1,Fc1ccc(c(F)c1)C(Cl)=O,TRAIN
rxn_04_27,4,27,40.34542314,106.2227814,False,False,2.0262176690550353,CC(C)NC1CCCCC1,Fc1ccc(c(F)c1)C(Cl)=O,TRAIN
rxn_04_28,4,28,40.34542314,336.1305809,False,False,2.5265080260426713,COc1ccccc1N,Fc1ccc(c(F)c1)C(Cl)=O,TRAIN
rxn_04_29,4,29,40.34542314,72.90802421,False,False,1.8627753291183355,NC(c1ccccc1)(c2ccccc2)c3ccccc3,Fc1ccc(c(F)c1)C(Cl)=O,TRAIN
rxn_04_30,4,30,40.34542314,98.7737138,False,False,1.9946413831451872,Cc1cccc(C)c1N,Fc1ccc(c(F)c1)C(Cl)=O,TRAIN
rxn_04_31,4,31,40.34542314,189.2267647,False,False,2.2769825640923824,CC1CN(C(OC(C)(C)C)=O)CC(C)N1,Fc1ccc(c(F)c1)C(Cl)=O,TRAIN
rxn_04_32,4,32,40.34542314,91.4548129,False,False,1.9612065655905784,N#CCCNc1ccccc1,Fc1ccc(c(F)c1)C(Cl)=O,TRAIN
rxn_04_33,4,33,40.34542314,73.30679899,False,False,1.8651442560450189,Nc1ccccc1F,Fc1ccc(c(F)c1)C(Cl)=O,TRAIN
rxn_04_35,4,35,40.34542314,260.4231642,False,False,2.415679611373922,COc1cccc(N)c1,Fc1ccc(c(F)c1)C(Cl)=O,TRAIN
rxn_04_36,4,36,40.34542314,72.67754297,False,False,1.8614002365692919,Nc1ccc(cc1)C(=O)c2ccccc2,Fc1ccc(c(F)c1)C(Cl)=O,TRAIN
rxn_04_37,4,37,40.34542314,489.7535668,False,False,2.6899776075782946,FC1=CC=C(OC2=CC=C(N)C=C2)C=C1,Fc1ccc(c(F)c1)C(Cl)=O,TEST1
rxn_05_01,5,1,39.12897822,41.63879085,False,True,1.619498109532127,CC(N)(C)C,FC(F)(F)c1ccc(cc1)C(Cl)=O,TRAIN
rxn_05_03,5,3,39.12897822,172.3076923,False,False,2.2363046660079378,Nc1ccc(F)cc1,FC(F)(F)c1ccc(cc1)C(Cl)=O,TRAIN
rxn_05_04,5,4,39.12897822,0.0,True,False,-inf,COc1ccc(N)cc1,FC(F)(F)c1ccc(cc1)C(Cl)=O,TRAIN
rxn_05_05,5,5,39.12897822,65.36728124,False,False,1.8153604221386266,Nc1ccccc1,FC(F)(F)c1ccc(cc1)C(Cl)=O,TRAIN
rxn_05_06,5,6,39.12897822,45.71428571,False,True,1.6600519382649341,Nc1c(C)cc(C)cc1C,FC(F)(F)c1ccc(cc1)C(Cl)=O,TRAIN
