acyl_chlorides,amines,Controls,HTE_rate (old),Fast_unmeasurable,Slow_unreliable,amine_smiles,acid_smiles,test splits,HTE_rate_corrected (all),HTE_rate_corrected,predicted_bias_correction,classified_rate,NMR_rate
3,22,3.638349599,111.444556,FALSE,FALSE,CCC(N)CC,CC(C)(C)c1ccc(cc1)C(Cl)=O,TRAIN,111.1336452,111.444556,0.310910823,0,
3,23,3.638349599,3.923647624,FALSE,TRUE,CC1CCCC(C)N1,CC(C)(C)c1ccc(cc1)C(Cl)=O,TRAIN,2.987277456,2.987277456,0.936370168,0,
3,24,3.638349599,4.758171467,FALSE,TRUE,Nc1ccc(C=C)cc1,CC(C)(C)c1ccc(cc1)C(Cl)=O,TRAIN,3.127883689,3.127883689,1.630287778,0,
3,25,3.638349599,21.13928104,FALSE,FALSE,Cc1ccc(N)cc1,CC(C)(C)c1ccc(cc1)C(Cl)=O,TRAIN,21.13067708,21.13928104,0.008603958,0,
3,26,3.638349599,11.40796444,FALSE,FALSE,Cc1cccc(N)c1,CC(C)(C)c1ccc(cc1)C(Cl)=O,TRAIN,11.15536958,11.40796444,0.252594858,0,
3,27,3.638349599,5.497678345,FALSE,FALSE,CC(C)NC1CCCCC1,CC(C)(C)c1ccc(cc1)C(Cl)=O,TRAIN,4.524481334,5.497678345,0.973197011,0,
3,28,3.638349599,10.45771107,FALSE,FALSE,COc1ccccc1N,CC(C)(C)c1ccc(cc1)C(Cl)=O,TRAIN,9.992142204,10.45771107,0.465568866,0,
3,29,3.638349599,4.830786203,FALSE,TRUE,NC(c1ccccc1)(c2ccccc2)c3ccccc3,CC(C)(C)c1ccc(cc1)C(Cl)=O,TRAIN,3.707347434,3.707347434,1.123438769,0,
3,30,3.638349599,4.901179366,FALSE,TRUE,Cc1cccc(C)c1N,CC(C)(C)c1ccc(cc1)C(Cl)=O,TRAIN,3.805494363,3.805494363,1.095685003,0,
3,31,3.638349599,4.849725378,FALSE,TRUE,CC1CN(C(OC(C)(C)C)=O)CC(C)N1,CC(C)(C)c1ccc(cc1)C(Cl)=O,TRAIN,3.879629738,3.879629738,0.97009564,0,
3,32,3.638349599,3.53823031,FALSE,TRUE,N#CCCNc1ccccc1,CC(C)(C)c1ccc(cc1)C(Cl)=O,TRAIN,1.609707423,1.609707423,1.928522887,0,
3,33,3.638349599,4.310531412,FALSE,TRUE,Nc1ccccc1F,CC(C)(C)c1ccc(cc1)C(Cl)=O,TRAIN,2.993410696,2.993410696,1.317120716,0,
3,35,3.638349599,6.260918733,FALSE,FALSE,COc1cccc(N)c1,CC(C)(C)c1ccc(cc1)C(Cl)=O,TRAIN,5.463164756,6.260918733,0.797753977,0,
3,36,3.638349599,5.913205252,FALSE,FALSE,Nc1ccc(cc1)C(=O)c2ccccc2,CC(C)(C)c1ccc(cc1)C(Cl)=O,TRAIN,5.020430407,5.913205252,0.892774845,0,
3,37,3.638349599,13.96030945,FALSE,FALSE,FC1=CC=C(OC2=CC=C(N)C=C2)C=C1,CC(C)(C)c1ccc(cc1)C(Cl)=O,TEST1,13.2550983,13.96030945,0.705211149,0,5.4307
4,1,40.34542314,30.75075075,FALSE,TRUE,CC(N)(C)C,Fc1ccc(c(F)c1)C(Cl)=O,TRAIN,7.984387823,7.984387823,22.76636293,0,
4,3,40.34542314,323.2170313,FALSE,FALSE,Nc1ccc(F)cc1,Fc1ccc(c(F)c1)C(Cl)=O,TRAIN,323.1676904,323.2170313,0.049340929,0,68.3126
4,4,40.34542314,1462.857143,FALSE,FALSE,COc1ccc(N)cc1,Fc1ccc(c(F)c1)C(Cl)=O,TRAIN,1462.852806,1462.857143,0.004336622,0,
4,5,40.34542314,436.4479578,FALSE,FALSE,Nc1ccccc1,Fc1ccc(c(F)c1)C(Cl)=O,TRAIN,436.3675415,436.4479578,0.080416313,0,
4,6,40.34542314,146.4206642,FALSE,FALSE,Nc1c(C)cc(C)cc1C,Fc1ccc(c(F)c1)C(Cl)=O,TRAIN,145.9666486,146.4206642,0.454015558,0,
4,7,40.34542314,557.9487179,FALSE,FALSE,CCCCCCCc1ccc(N)cc1,Fc1ccc(c(F)c1)C(Cl)=O,TRAIN,557.8699165,557.9487179,0.07880145,0,
4,8,40.34542314,44.51171481,FALSE,TRUE,CC(C)c1cccc(C(C)C)c1N,Fc1ccc(c(F)c1)C(Cl)=O,TRAIN,33.58497748,33.58497748,10.92673733,0,
4,9,40.34542314,90.32624113,FALSE,FALSE,C1CCC(CC1)NC2CCCCC2,Fc1ccc(c(F)c1)C(Cl)=O,TRAIN,90.05259828,90.32624113,0.273642852,0,
4,10,40.34542314,727.0472163,FALSE,FALSE,CCCCCCc1ccc(N)cc1,Fc1ccc(c(F)c1)C(Cl)=O,TRAIN,727.0428797,727.0472163,0.004336622,0,
